sin,time_a,county,cnt,sintype
fig4,13:50,高雄市,1903,w_test_2
fig4,13:50,屏東縣,252,w_test_2
fig4,16:20,屏東縣,147,w_test_2
fig4,14:55,新北市,223,w_test_2
fig4,17:00,台中市,89,w_test_2
fig4,16:35,屏東縣,66,w_test_2
fig4,14:30,台中市,428,w_test_2
fig4,15:45,高雄市,1688,w_test_2
fig4,14:40,新北市,243,w_test_2
fig4,14:45,台中市,504,w_test_2
fig4,17:10,新北市,20,w_test_2
fig4,17:15,台中市,47,w_test_2
fig4,15:30,高雄市,1871,w_test_2
fig4,16:05,台南市,3611,w_test_2
fig4,17:25,新北市,21,w_test_2
fig4,13:35,台南市,5562,w_test_2
fig4,14:10,屏東縣,297,w_test_2
fig4,15:05,台中市,481,w_test_2
fig4,13:35,高雄市,1771,w_test_2
fig4,15:00,新北市,222,w_test_2
fig4,16:20,台南市,2450,w_test_2
fig4,17:30,台中市,12,w_test_2
fig4,16:50,屏東縣,59,w_test_2
fig4,15:15,新北市,257,w_test_2
fig4,16:35,台南市,1534,w_test_2
fig4,13:50,台南市,6597,w_test_2
fig4,14:25,屏東縣,275,w_test_2
fig4,16:05,高雄市,1200,w_test_2
fig4,17:00,新北市,34,w_test_2
fig4,16:25,屏東縣,112,w_test_2
fig4,16:10,屏東縣,169,w_test_2
fig4,14:30,新北市,235,w_test_2
fig4,14:35,台中市,405,w_test_2
fig4,14:20,台中市,463,w_test_2
fig4,13:40,屏東縣,220,w_test_2
fig4,15:35,高雄市,1815,w_test_2
fig4,15:50,台南市,5422,w_test_2
fig4,14:45,新北市,247,w_test_2
fig4,17:15,新北市,30,w_test_2
fig4,13:55,屏東縣,295,w_test_2
fig4,17:05,台中市,87,w_test_2
fig4,15:20,高雄市,1870,w_test_2
fig4,13:30,高雄市,1773,w_test_2
fig4,17:05,屏東縣,39,w_test_2
fig4,14:35,屏東縣,293,w_test_2
fig4,16:00,高雄市,1413,w_test_2
fig4,15:10,新北市,246,w_test_2
fig4,15:00,台中市,491,w_test_2
fig4,14:20,屏東縣,291,w_test_2
fig4,16:45,台南市,1250,w_test_2
fig4,16:15,高雄市,1041,w_test_2
fig4,16:30,台南市,1757,w_test_2
fig4,14:05,台南市,6882,w_test_2
fig4,13:45,高雄市,1884,w_test_2
fig4,15:25,新北市,237,w_test_2
fig4,15:15,台中市,474,w_test_2
fig4,13:55,高雄市,1915,w_test_2
fig4,17:15,屏東縣,31,w_test_2
fig4,15:35,新北市,238,w_test_2
fig4,17:00,屏東縣,32,w_test_2
fig4,15:20,新北市,226,w_test_2
fig4,16:10,高雄市,1046,w_test_2
fig4,14:45,屏東縣,302,w_test_2
fig4,16:25,高雄市,628,w_test_2
fig4,16:40,台南市,1298,w_test_2
fig4,14:15,台南市,7303,w_test_2
fig4,15:25,台中市,480,w_test_2
fig4,14:00,台南市,7245,w_test_2
fig4,15:10,台中市,443,w_test_2
fig4,14:30,屏東縣,295,w_test_2
fig4,13:40,高雄市,1866,w_test_2
fig4,16:55,台南市,1008,w_test_2
fig4,14:50,高雄市,2050,w_test_2
fig4,16:30,新北市,101,w_test_2
fig4,13:50,台中市,487,w_test_2
fig4,15:40,屏東縣,289,w_test_2
fig4,16:45,新北市,44,w_test_2
fig4,15:10,台南市,6333,w_test_2
fig4,16:35,台中市,130,w_test_2
fig4,16:20,台中市,212,w_test_2
fig4,17:20,高雄市,198,w_test_2
fig4,15:25,台南市,6239,w_test_2
fig4,14:05,新北市,227,w_test_2
fig4,15:55,屏東縣,246,w_test_2
fig4,14:10,新北市,229,w_test_2
fig4,15:00,高雄市,2070,w_test_2
fig4,15:30,台南市,6322,w_test_2
fig4,14:25,新北市,253,w_test_2
fig4,16:40,台中市,115,w_test_2
fig4,15:15,高雄市,1991,w_test_2
fig4,14:00,台中市,470,w_test_2
fig4,14:15,台中市,471,w_test_2
fig4,16:50,新北市,45,w_test_2
fig4,16:55,台中市,61,w_test_2
